IndexCode,IndexID,IndexName,PreviousClose,OpenPrice,HighPrice,LowPrice,ClosePrice,52weeksHigh,52weeksLow,Filler1,Filler2,Filler3,Filler4
1,SENSEX,BSE SENSEX,78542.44,78509.77,78509.77,78048.26,78154.25,86159.02,71545.81,,,,
2,BSE100,BSE 100,26290.52,26319.45,26319.45,26166.29,26195.23,27621.72,23249.92,,,,
3,BSE200,BSE 200,11528.90,11542.88,11542.88,11472.51,11486.62,11944.41,10077.77,,,,
4,BSE500,BSE 500,37131.97,37176.81,37176.81,36984.70,37029.82,37874.46,31965.51,,,,
7,BSE CG,BSE CAPITAL GOODS,79652.53,79731.36,79924.42,78884.89,79281.97,84777.05,61099.75,,,,
8,BSE CD,BSE CONSUMER DURABLES,65758.16,65765.10,66148.63,65583.15,65629.51,66148.63,51821.68,,,,
10,BSEPSU,BSE PSU,20885.80,20894.92,20899.37,20783.84,20848.12,22589.26,18256.71,,,,
11,TECK,BSE TECK,15828.64,15784.77,15889.92,15772.03,15801.11,19167.87,13891.13,,,,
12,BANKEX,BSE BANKEX,65306.94,65300.40,65317.48,64743.54,65050.10,69406.97,56230.38,,,,
13,AUTO,BSE AUTO,65045.06,65199.16,65299.36,64707.89,64845.36,65675.73,52099.69,,,,
14,METAL,BSE METAL,42196.25,42631.46,42631.46,41883.84,41973.81,45388.14,30311.19,,,,
15,OILGAS,BSE OIL&GAS,26401.28,26441.36,26492.10,26283.90,26415.47,29833.46,25073.03,,,,
21,REALTY,BSE REALTY,7022.10,7040.68,7054.16,6925.51,6949.64,7568.28,4956.78,,,,
22,POWER,BSE POWER,7676.68,7698.97,7700.02,7600.26,7635.06,8573.90,5983.27,,,,
23,BSEIPO,BSE IPO,17920.79,17955.11,18064.63,17938.62,18009.64,18064.63,13673.97,,,,
27,SMEIPO,BSE SME IPO,102506.67,102606.75,103427.83,102606.75,103340.90,110401.84,73866.86,,,,
28,INFRA,BSE INDIA INFRA INDEX,583.43,585.28,585.47,578.63,580.05,633.79,528.80,,,,
29,CPSE,BSE CPSE,3861.90,3868.41,3871.84,3841.88,3852.29,4265.39,3559.27,,,,
32,BSEFMC,BSE FMCG,18483.86,18530.79,18530.79,18295.73,18323.56,21490.85,16740.58,,,,
33,BSE HC,BSE Healthcare,51188.97,51200.61,51449.28,51008.22,51363.70,51574.61,40239.45,,,,
34,BSE IT,BSE IT,30370.05,30484.82,30685.42,30387.48,30482.33,38598.21,25164.70,,,,
35,MFG,BSE INDIA MFG INDEX,1109.15,1112.65,1112.65,1104.12,1104.93,1124.57,999.44,,,,
37,COMDTY,BSE COMMODITIES,8805.70,8855.95,8855.95,8721.91,8735.69,8923.87,7268.95,,,,
38,CONDIS,BSE CONSUMER DISCRE,10355.98,10374.65,10393.10,10351.72,10363.09,10413.48,8158.47,,,,
39,ENERGY,BSE ENERGY,11388.43,11404.79,11433.15,11342.27,11399.51,12537.31,10920.35,,,,
40,FINSER,BSE FINANCIAL SERVCS,12631.55,12634.41,12635.67,12552.26,12597.35,13392.39,10959.13,,,,
41,INDSTR,BSE INDUSTRIALS,16584.25,16607.22,16615.72,16460.01,16508.80,17152.55,13118.74,,,,
43,MIDSEL,BSE MIDCAP SELECT,18846.67,18790.21,18844.65,18729.32,18844.65,18886.06,14644.25,,,,
44,SMLSEL,BSE SMALLCAP SELECT,9080.16,9101.25,9118.26,9078.32,9114.79,9121.37,6803.36,,,,
45,TELCOM,BSE TELECOMMUNICATION,3586.81,3570.94,3587.91,3557.07,3568.12,3793.58,2676.37,,,,
46,UTILS,BSE UTILITIES,5700.20,5732.92,5735.90,5649.33,5660.66,6419.58,4789.17,,,,
