"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 31-Jul-2026","1W AGO 
 24-Jul-2026","1M AGO 
 01-Jul-2026","1Y AGO 
 31-Jul-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY 50","24,383.60","0.27","24,361.45","24,429.40","24,299.70","-","24,317.15","24,383.60","23,767.45","24,005.85","24,768.35","26,373.20","22,182.55",2.17,-1.55
"NIFTY NEXT 50","73,651.30","1.31","72,955.75","73,804.25","72,955.75","-","72,698.95","73,651.30","71,766.00","72,100.65","67,096.15","73,804.25","59,896.10",2.82,9.77
"NIFTY BANK","57,264.85","0.21","57,225.90","57,411.25","57,139.60","-","57,147.50","57,264.85","56,693.50","58,033.05","55,961.95","61,764.85","49,954.85",-0.48,2.33
"NIFTY FINANCIAL SERVICES","26,594.05","1.31","26,375.45","26,620.65","26,370.30","-","26,251.25","26,594.05","25,909.90","26,797.75","26,649.95","28,562.50","23,373.95",0.15,-0.21
"NIFTY MIDCAP SELECT","14,784.40","0.73","14,697.30","14,819.05","14,645.50","-","14,676.65","14,784.40","14,436.05","14,536.10","12,867.10","14,876.45","12,046.20",2.48,14.9
"NIFTY 100","25,486.35","0.46","25,422.95","25,532.65","25,387.25","-","25,368.75","25,486.35","24,840.75","25,065.10","25,380.50","26,975.15","22,720.45",2.29,0.42
"NIFTY 200","14,106.30","0.46","14,073.80","14,133.50","14,055.40","-","14,041.95","14,106.30","13,762.40","13,879.05","13,814.00","14,700.95","12,396.10",2.19,2.12
"NIFTY 500","23,460.70","0.46","23,409.85","23,506.55","23,375.55","-","23,353.55","23,460.70","22,913.30","23,111.65","22,914.95","24,144.20","20,385.65",2.02,2.38
"NIFTY MIDCAP 50","18,105.85","0.43","18,061.10","18,143.10","17,976.10","-","18,028.65","18,105.85","17,709.45","17,716.10","16,212.45","18,143.10","14,804.55",2.9,11.68
"NIFTY MIDCAP 100","62,915.30","0.44","62,817.00","63,072.40","62,569.20","-","62,641.75","62,915.30","61,622.35","62,008.80","57,400.55","63,183.35","52,032.85",1.81,9.61
"NIFTY SMALLCAP 100","19,339.65","0.44","19,310.80","19,416.30","19,274.25","-","19,254.45","19,339.65","18,874.95","18,931.05","17,966.85","19,470.50","14,986.00",2.53,7.64
"INDIA VIX","11.76","-3.29","12.16","12.21","11.65","-","12.16","11.76","14.03","13.24","11.54","28.91","8.72",-13.53,1.91
