"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 31-Jul-2026","1W AGO 
 27-Jul-2026","1M AGO 
 03-Jul-2026","1Y AGO 
 01-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY 50","24,534.15","0.62","24,572.70","24,576.45","24,515.15","-","24,383.60","24,383.60","23,995.95","24,270.85","24,565.35","26,373.20","22,182.55",1.08,-0.13
"NIFTY NEXT 50","74,153.45","0.68","74,109.30","74,219.40","74,055.80","-","73,651.30","73,651.30","72,596.85","72,268.95","66,192.80","73,804.25","59,896.10",2.61,12.03
"NIFTY BANK","57,577.70","0.55","57,569.60","57,628.10","57,465.95","-","57,264.85","57,264.85","57,087.20","57,938.50","55,617.60","61,764.85","49,954.85",-0.62,3.52
"NIFTY FINANCIAL SERVICES","26,827.30","0.88","26,807.25","26,830.90","26,717.30","-","26,594.05","26,594.05","26,126.15","26,875.05","26,492.50","28,562.50","23,373.95",-0.18,1.26
"NIFTY MIDCAP SELECT","14,824.05","0.27","14,851.75","14,859.15","14,812.70","-","14,784.40","14,784.40","14,572.90","14,545.90","12,668.25","14,876.45","12,046.20",1.91,17.02
"NIFTY 100","25,646.55","0.63","25,676.75","25,681.50","25,627.20","-","25,486.35","25,486.35","25,088.60","25,301.90","25,149.60","26,975.15","22,720.45",1.36,1.98
"NIFTY 200","14,190.80","0.60","14,204.95","14,206.90","14,178.55","-","14,106.30","14,106.30","13,902.70","13,992.05","13,678.50","14,700.95","12,396.10",1.42,3.75
"NIFTY 500","23,613.50","0.65","23,619.15","23,621.70","23,578.55","-","23,460.70","23,460.70","23,153.10","23,301.15","22,673.65","24,144.20","20,385.65",1.34,4.15
"NIFTY MIDCAP 50","18,159.60","0.30","18,188.75","18,193.55","18,140.60","-","18,105.85","18,105.85","17,935.25","17,783.25","15,963.15","18,143.10","14,804.55",2.12,13.76
"NIFTY MIDCAP 100","63,214.45","0.48","63,235.60","63,252.40","63,107.55","-","62,915.30","62,915.30","62,303.65","62,190.30","56,637.15","63,183.35","52,032.85",1.65,11.61
"NIFTY SMALLCAP 100","19,528.15","0.97","19,446.30","19,533.45","19,407.70","-","19,339.65","19,339.65","19,122.60","19,175.10","17,668.20","19,470.50","14,986.00",1.84,10.53
"INDIA VIX","11.89","1.12","11.76","11.97","11.76","-","11.76","11.76","12.66","11.80","11.98","28.91","8.72",0.76,-0.75
"NIFTY MIDCAP 150","23,263.80","0.54","23,257.20","23,264.45","23,214.00","-","23,138.45","23,138.45","22,933.05","22,884.35","21,088.65","23,239.65","19,218.00",1.66,10.31
"NIFTY SMALLCAP 50","9,733.35","0.92","9,697.00","9,736.15","9,676.65","-","9,644.45","9,644.45","9,486.35","9,470.40","8,517.95","9,677.80","7,338.35",2.78,14.27
"NIFTY SMALLCAP 250","18,099.75","1.00","18,015.45","18,104.50","17,986.10","-","17,919.90","17,919.90","17,824.50","17,996.25","16,863.25","18,194.80","14,143.45",0.58,7.33
"NIFTY MIDSMALLCAP 400","21,382.60","0.70","21,344.65","21,384.10","21,308.35","-","21,234.20","21,234.20","21,071.35","21,111.00","19,582.00","21,397.40","17,390.85",1.29,9.2
"NIFTY500 MULTICAP 50:25:25","16,694.80","0.70","16,684.00","16,695.85","16,656.85","-","16,578.60","16,578.60","16,389.80","16,489.80","15,820.45","16,681.75","14,102.20",1.24,5.53
"NIFTY LARGEMIDCAP 250","16,895.25","0.59","16,902.70","16,904.15","16,873.50","-","16,796.85","16,796.85","16,591.05","16,643.80","15,919.25","17,077.75","14,445.65",1.51,6.13
"NIFTY TOTAL MARKET","13,320.45","0.68","13,320.70","13,323.65","13,298.85","-","13,230.25","13,230.25","13,066.10","13,147.35","12,767.20","13,548.00","11,436.55",1.32,4.33
"NIFTY MICROCAP 250","25,517.20","1.34","25,397.65","25,518.90","25,369.85","-","25,178.75","25,178.75","25,257.20","25,317.60","23,555.50","25,593.75","18,858.50",0.79,8.33
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","18,630.45","0.72","18,607.10","18,631.40","18,577.05","-","18,496.45","18,496.45","18,312.10","18,409.35","17,464.95","18,551.60","15,495.10",1.2,6.67
"NIFTY INDIA FPI 150","1,589.30","0.56","1,592.00","1,592.15","1,588.20","-","1,580.50","1,580.50","1,555.40","1,559.75","-","1,641.40","1,346.50",1.89,0
"NIFTY SMALLCAP 500","20,555.35","1.10","20,458.75","20,558.90","20,430.25","-","20,331.20","20,331.20","20,280.15","20,428.30","-","20,638.95","15,960.20",0.62,0
"NIFTY MIDSMALLCAP400 50:50","20,820.75","0.77","20,769.45","20,822.95","20,735.55","-","20,661.35","20,661.35","20,514.45","20,591.00","-","20,851.90","16,874.30",1.12,0
"NIFTY AUTO","28,865.75","0.42","29,058.85","29,114.45","28,862.85","-","28,744.15","28,744.15","27,653.40","26,988.10","23,410.95","29,179.10","23,439.05",6.96,23.3
"NIFTY FINANCIAL SERVICES 25/50","29,283.70","0.78","29,252.80","29,288.10","29,166.35","-","29,055.85","29,055.85","28,606.75","29,219.75","28,335.40","-","-",0.22,3.35
"NIFTY FMCG","49,534.75","0.84","49,351.90","49,764.45","49,298.60","-","49,121.20","49,121.20","49,564.80","50,096.40","56,197.05","58,485.05","45,334.15",-1.12,-11.86
"NIFTY IT","30,884.75","0.57","30,950.95","31,061.00","30,796.55","-","30,708.90","30,708.90","29,441.90","27,439.40","34,649.60","40,301.40","25,699.10",12.56,-10.87
"NIFTY MEDIA","1,595.75","-1.41","1,587.35","1,600.50","1,584.30","-","1,618.65","1,618.65","1,563.90","1,512.30","1,616.80","1,674.40","1,245.05",5.52,-1.3
"NIFTY METAL","12,853.80","1.06","12,859.40","12,916.35","12,823.60","-","12,719.00","12,719.00","12,476.45","12,598.45","9,102.35","13,931.35","9,127.25",2.03,41.21
"NIFTY PHARMA","26,498.95","-0.14","26,764.60","26,801.20","26,391.80","-","26,534.80","26,534.80","25,945.75","25,745.15","22,011.70","26,734.50","21,149.90",2.93,20.39
"NIFTY PSU BANK","8,423.95","0.68","8,418.75","8,451.20","8,418.50","-","8,367.20","8,367.20","8,364.15","8,407.60","6,773.35","9,918.65","6,730.30",0.19,24.37
"NIFTY PRIVATE BANK","27,687.00","0.60","27,666.80","27,700.95","27,592.35","-","27,522.65","27,522.65","27,393.35","28,215.45","26,920.35","29,748.45","23,957.45",-1.87,2.85
"NIFTY REALTY","903.70","0.25","906.85","907.30","902.30","-","901.45","901.45","901.90","890.80","896.15","974.50","638.65",1.45,0.84
"NIFTY HEALTHCARE INDEX","16,747.35","-0.05","16,905.80","16,921.05","16,680.85","-","16,755.50","16,755.50","16,472.65","16,441.45","14,468.70","16,875.35","13,536.50",1.86,15.75
"NIFTY CONSUMER DURABLES","40,061.25","-0.03","40,103.15","40,183.75","39,883.00","-","40,072.15","40,072.15","39,128.45","36,831.80","37,893.50","40,472.45","32,587.95",8.77,5.72
"NIFTY OIL & GAS","11,286.10","0.34","11,312.40","11,330.25","11,285.65","-","11,247.70","11,247.70","11,079.10","11,136.20","11,090.80","12,445.70","10,580.95",1.35,1.76
"NIFTY MIDSMALL HEALTHCARE","51,724.60","-0.06","51,974.00","51,996.70","51,543.75","-","51,754.10","51,754.10","51,303.95","50,900.65","44,474.10","52,260.90","40,352.90",1.62,16.3
