"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 03-Aug-2026","1W AGO 
 28-Jul-2026","1M AGO 
 03-Jul-2026","1Y AGO 
 01-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY 50","24,469.25","-1.23","24,703.90","24,703.90","24,455.95","-","24,774.30","24,774.30","23,985.35","24,270.85","24,565.35","26,373.20","22,182.55",0.82,-1.03
"NIFTY NEXT 50","74,199.35","-0.55","74,551.50","74,667.20","74,155.90","-","74,608.70","74,608.70","72,087.45","72,268.95","66,192.80","74,611.80","59,896.10",2.67,10.88
"NIFTY BANK","57,425.60","-1.41","58,068.95","58,068.95","57,381.90","-","58,247.95","58,247.95","56,755.60","57,938.50","55,617.60","61,764.85","49,954.85",-0.89,3.25
"NIFTY FINANCIAL SERVICES","26,645.90","-1.25","26,941.05","26,941.05","26,621.75","-","26,984.45","26,984.45","26,024.20","26,875.05","26,492.50","28,562.50","23,373.95",-0.85,0.64
"NIFTY MIDCAP SELECT","14,815.60","-0.55","14,906.40","14,908.85","14,790.00","-","14,898.15","14,898.15","14,541.05","14,545.90","12,668.25","14,908.55","12,046.20",1.85,15.2
"NIFTY 100","25,594.60","-1.10","25,816.80","25,816.80","25,580.45","-","25,880.45","25,880.45","25,046.95","25,301.90","25,149.60","26,975.15","22,720.45",1.16,1.04
"NIFTY 200","14,174.10","-0.98","14,289.55","14,289.55","14,165.85","-","14,315.00","14,315.00","13,886.35","13,992.05","13,678.50","14,700.95","12,396.10",1.3,2.77
"NIFTY 500","23,604.80","-0.83","23,771.45","23,771.45","23,592.35","-","23,802.85","23,802.85","23,114.90","23,301.15","22,673.65","24,144.20","20,385.65",1.3,3.26
"NIFTY MIDCAP 50","18,155.55","-0.80","18,306.55","18,306.55","18,137.45","-","18,301.85","18,301.85","17,973.90","17,783.25","15,963.15","18,301.85","14,804.55",2.09,12.23
"NIFTY MIDCAP 100","63,358.65","-0.50","63,739.90","63,740.85","63,293.15","-","63,679.30","63,679.30","62,351.50","62,190.30","56,637.15","63,681.80","52,032.85",1.88,10.32
"NIFTY SMALLCAP 100","19,662.20","0.37","19,668.25","19,757.75","19,631.00","-","19,589.35","19,589.35","19,080.70","19,175.10","17,668.20","19,610.85","14,986.00",2.54,9.89
"INDIA VIX","12.35","3.58","11.93","12.44","11.43","-","11.93","11.93","12.56","11.80","11.98","28.91","8.72",4.66,3.17
"NIFTY MIDCAP 150","23,312.75","-0.45","23,432.05","23,437.00","23,293.00","-","23,418.95","23,418.95","22,931.45","22,884.35","21,088.65","23,420.15","19,218.00",1.87,9.3
"NIFTY SMALLCAP 50","9,752.40","-0.05","9,769.00","9,798.50","9,744.05","-","9,757.55","9,757.55","9,502.55","9,470.40","8,517.95","9,777.80","7,338.35",2.98,12.8
"NIFTY SMALLCAP 250","18,198.00","0.17","18,208.50","18,277.55","18,176.85","-","18,166.65","18,166.65","17,741.45","17,996.25","16,863.25","18,194.80","14,143.45",1.12,6.87
"NIFTY MIDSMALLCAP 400","21,451.85","-0.24","21,528.30","21,558.90","21,434.30","-","21,503.50","21,503.50","21,036.95","21,111.00","19,582.00","21,506.35","17,390.85",1.61,8.37
"NIFTY500 MULTICAP 50:25:25","16,709.05","-0.63","16,805.35","16,805.95","16,700.70","-","16,814.15","16,814.15","16,356.90","16,489.80","15,820.45","16,815.55","14,102.20",1.33,4.69
"NIFTY LARGEMIDCAP 250","16,895.75","-0.78","17,012.30","17,012.30","16,885.80","-","17,028.50","17,028.50","16,576.70","16,643.80","15,919.25","17,077.75","14,445.65",1.51,5.16
"NIFTY TOTAL MARKET","13,319.05","-0.77","13,407.90","13,407.90","13,312.10","-","13,422.50","13,422.50","13,038.20","13,147.35","12,767.20","13,548.00","11,436.55",1.31,3.48
"NIFTY MICROCAP 250","25,665.40","0.59","25,618.10","25,693.15","25,565.80","-","25,515.50","25,515.50","24,937.10","25,317.60","23,555.50","25,593.75","18,858.50",1.37,8.36
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","18,664.40","-0.46","18,753.80","18,766.40","18,654.95","-","18,751.45","18,751.45","18,273.15","18,409.35","17,464.95","18,753.55","15,495.10",1.39,5.87
"NIFTY INDIA FPI 150","1,586.70","-1.04","1,600.20","1,600.20","1,585.85","-","1,603.40","1,603.40","1,554.05","1,559.75","-","1,641.40","1,346.50",1.73,0
"NIFTY SMALLCAP 500","20,671.70","0.30","20,667.80","20,734.70","20,631.75","-","20,610.10","20,610.10","20,138.60","20,428.30","-","20,643.60","15,960.20",1.19,0
"NIFTY MIDSMALLCAP400 50:50","20,898.95","-0.14","20,958.55","21,000.05","20,881.95","-","20,928.65","20,928.65","20,466.10","20,591.00","-","20,932.30","16,874.30",1.5,0
"NIFTY AUTO","28,946.65","-0.76","29,082.45","29,107.20","28,903.05","-","29,168.95","29,168.95","27,843.90","26,988.10","23,410.95","29,179.10","23,439.05",7.26,21.69
