"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 10-Aug-2026","1W AGO 
 04-Aug-2026","1M AGO 
 10-Jul-2026","1Y AGO 
 08-Aug-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY 50","24,532.85","-0.21","24,575.10","24,576.85","24,527.85","-","24,583.80","24,583.80","24,614.90","24,206.90","24,363.30","26,373.20","22,182.55",1.35,-0.21
"NIFTY NEXT 50","74,742.95","-0.03","74,878.45","74,878.45","74,737.95","-","74,766.85","74,766.85","74,210.55","72,391.80","65,514.70","74,860.10","59,896.10",3.25,12.76
"NIFTY BANK","57,521.35","-0.29","57,604.35","57,607.25","57,518.85","-","57,686.95","57,686.95","57,907.20","58,045.90","55,004.90","61,764.85","49,954.85",-0.9,3.62
"NIFTY FINANCIAL SERVICES","26,467.60","-0.29","26,521.10","26,521.10","26,460.75","-","26,545.30","26,545.30","26,844.70","26,831.05","26,167.35","28,562.50","23,373.95",-1.35,0.23
"NIFTY MIDCAP SELECT","14,976.95","0.11","14,979.55","14,989.25","14,967.90","-","14,960.60","14,960.60","14,871.50","14,820.90","12,506.30","15,022.30","12,046.20",1.05,18.77
"NIFTY 100","25,693.30","-0.14","25,728.05","25,729.20","25,689.65","-","25,728.30","25,728.30","25,719.15","25,255.10","24,934.05","26,975.15","22,720.45",1.74,2.07
"NIFTY 200","14,242.55","-0.09","14,259.00","14,259.35","14,240.90","-","14,255.60","14,255.60","14,235.20","14,009.25","13,555.15","14,700.95","12,396.10",1.67,4.1
"NIFTY 500","23,731.85","-0.05","23,755.40","23,756.05","23,730.10","-","23,743.20","23,743.20","23,690.15","23,348.40","22,443.15","24,144.20","20,385.65",1.64,4.85
"NIFTY MIDCAP 50","18,315.45","0.09","18,319.95","18,327.05","18,306.40","-","18,298.90","18,298.90","18,215.85","18,059.50","15,785.60","18,336.75","14,804.55",1.42,15.03
"NIFTY MIDCAP 100","63,910.55","0.09","63,934.05","63,953.95","63,893.90","-","63,855.70","63,855.70","63,491.60","63,036.80","56,002.20","63,986.70","52,032.85",1.39,13.16
"NIFTY SMALLCAP 100","19,853.40","0.20","19,860.00","19,867.15","19,852.80","-","19,813.95","19,813.95","19,635.25","19,416.50","17,428.20","19,936.55","14,986.00",2.25,13.5
"INDIA VIX","12.12","-1.00","12.25","12.25","11.19","-","12.25","12.25","12.19","12.25","12.03","28.91","8.72",-1.06,-0.82
"NIFTY MIDCAP 150","23,496.25","0.11","23,502.90","23,510.70","23,492.10","-","23,470.90","23,470.90","23,347.75","23,166.50","20,848.25","23,514.15","19,218.00",1.42,11.97
