SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"POWERINDIA","35,000.00","35,240.00","34,225.00","32,600.00","35,220.00","-","2620","8.04","127670","443.76","38,785.00","16,111.00","-0.02","60.63"
"OIL","450.00","459.95","448.50","442.80","458.40","-","15.6","3.52","1818314","82.40","531.00","384.60","4.2","2.41"
"NAUKRI","1,240.10","1,270.70","1,237.80","1,225.30","1,263.70","-","38.4","3.13","337765","42.62","1,437.80","908.30","1.76","-8.01"
"HEROMOTOCO","5,765.00","5,910.00","5,756.50","5,725.00","5,900.00","-","175","3.06","228228","133.89","6,388.50","4,422.30","15.68","24.46"
"PAYTM","1,445.00","1,485.70","1,445.00","1,441.60","1,485.30","-","43.7","3.03","643707","94.73","1,485.70","930.60","7.44","35.69"
"SONACOMS","822.10","836.75","818.25","818.05","836.10","-","18.05","2.21","437853","36.23","836.75","402.30","22.36","83.83"
"MOTHERSON","170.00","171.90","169.06","168.50","171.90","-","3.4","2.02","5796668","98.99","171.90","89.70","17.68","84.25"
"COFORGE","1,783.10","1,817.10","1,783.10","1,776.00","1,809.00","-","33","1.86","311240","56.31","1,989.70","1,008.10","18.1","10.53"
"TITAN","4,932.00","5,037.20","4,886.20","4,941.00","5,017.00","-","76","1.54","541078","269.87","5,037.20","3,303.10","7.78","42.8"
"TECHM","1,644.00","1,661.40","1,643.30","1,635.00","1,657.50","-","22.5","1.38","264011","43.74","1,854.00","1,304.10","12.39","10.44"
"KALYANKJIL","610.00","616.80","603.00","606.30","614.40","-","8.1","1.34","2683143","164.16","648.95","327.05","27.33","14.81"
"BRITANNIA","5,512.50","5,643.50","5,512.50","5,510.00","5,583.50","-","73.5","1.33","39806","22.30","6,336.00","5,035.00","2.93","2.28"
"FORTIS","965.05","978.70","965.05","955.15","967.50","-","12.35","1.29","362683","35.27","1,104.30","766.80","-1.33","6.44"
"IDEA","12.92","12.92","12.78","12.73","12.88","-","0.15","1.18","45846618","58.87","15.34","6.12","-10.29","95.55"
"JUBLFOOD","487.00","494.45","484.00","486.50","492.10","-","5.6","1.15","229781","11.29","670.45","408.55","11.06","-22.09"
"HYUNDAI","2,193.70","2,229.00","2,193.70","2,200.50","2,224.20","-","23.7","1.08","28839","6.39","2,890.00","1,658.00","10.86","3.78"
"GRASIM","3,324.00","3,358.00","3,290.20","3,323.00","3,357.80","-","34.8","1.05","66440","22.06","3,358.00","2,502.50","3.4","23.46"
"ICICIBANK","1,428.10","1,441.90","1,428.10","1,421.00","1,435.40","-","14.4","1.01","1177604","169.13","1,480.00","1,187.60","1.41","-1.04"
"LTM","4,688.00","4,724.40","4,682.50","4,658.10","4,704.40","-","46.3","0.99","47987","22.58","6,429.50","3,528.00","15.38","0"
"NATIONALUM","381.70","386.00","381.10","381.00","384.60","-","3.6","0.94","620277","23.80","445.15","183.86","7.37","103.3"
"M&M","3,509.00","3,532.00","3,491.10","3,502.00","3,532.00","-","30","0.86","206114","72.48","3,839.90","2,896.00","11.91","11.38"
"TATASTEEL","187.56","189.42","187.55","187.55","189.15","-","1.6","0.85","1221923","23.06","224.40","153.05","-1.9","18.74"
"CIPLA","1,463.80","1,483.70","1,463.80","1,463.80","1,475.80","-","12","0.82","42220","6.23","1,673.00","1,165.70","1.7","-1.48"
"PNBHOUSING","1,143.10","1,156.70","1,137.60","1,143.00","1,152.40","-","9.4","0.82","43638","5.02","1,167.00","729.60","2.92","48.3"
"LAURUSLABS","1,845.00","1,869.90","1,844.50","1,844.30","1,858.70","-","14.4","0.78","156120","29.10","1,869.90","810.05","19.93","124.41"
"TMPV","347.00","349.80","344.60","347.00","349.65","-","2.65","0.76","612099","21.27","739.70","294.30","2.68","0"
"UNOMINDA","1,291.30","1,298.30","1,285.00","1,285.00","1,294.80","-","9.8","0.76","58390","7.55","1,382.00","994.00","10.2","18.54"
"KEI","5,615.00","5,652.90","5,585.00","5,600.00","5,642.10","-","42.1","0.75","29750","16.71","5,708.00","3,712.20","8.75","45.8"
"JINDALSTEL","1,107.60","1,113.20","1,100.00","1,103.00","1,111.30","-","8.3","0.75","59741","6.62","1,306.20","943.30","4.92","13.23"
"TORNTPHARM","4,928.50","4,981.50","4,916.50","4,924.00","4,961.00","-","37","0.75","25485","12.63","5,250.00","3,480.60","0.46","37.8"
"TRENT","3,010.00","3,032.40","2,981.00","2,997.00","3,018.80","-","21.8","0.73","76822","23.16","3,782.67","2,183.67","3.25","-43.63"
"POLYCAB","9,224.50","9,312.50","9,224.50","9,218.00","9,282.50","-","64.5","0.7","26103","24.22","10,126.00","6,620.00","0.08","36.75"
"UNITDSPR","1,503.00","1,526.00","1,503.00","1,512.40","1,522.70","-","10.3","0.68","49986","7.59","1,548.00","1,210.80","9.14","17.1"
"VEDL","280.00","281.30","277.20","278.85","280.70","-","1.85","0.66","1918925","53.70","795.00","249.70","2.31","-35.37"
"DIVISLAB","8,285.00","8,350.00","8,265.00","8,275.00","8,329.00","-","54","0.65","24445","20.34","8,585.00","5,636.50","21.05","39.91"
"AXISBANK","1,235.00","1,248.60","1,235.00","1,238.00","1,245.80","-","7.8","0.63","335320","41.64","1,418.30","1,042.50","-6.47","17"
"VBL","442.00","446.90","442.00","442.00","444.75","-","2.75","0.62","188033","8.37","555.80","381.00","-7.55","-10.88"
"MPHASIS","2,487.40","2,500.00","2,484.00","2,475.00","2,490.00","-","15","0.61","19941","4.97","3,037.20","2,013.00","6.59","-8.19"
"DLF","642.00","648.80","642.00","642.00","645.85","-","3.85","0.6","113031","7.30","794.80","489.40","-6.38","-14.08"
