SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"BAJFINANCE","1,095.00","1,151.50","1,083.60","1,053.50","1,141.20","-","87.7","8.32","40814590","4,585.52","1,151.50","787.90","12.44","29.51"
"HYUNDAI","2,099.00","2,208.00","2,090.00","2,018.20","2,183.00","-","164.8","8.17","5531547","1,203.65","2,890.00","1,658.00","13.68","1.34"
"BAJAJFINSV","1,932.00","2,036.60","1,930.00","1,909.40","2,031.00","-","121.6","6.37","3731886","747.32","2,195.00","1,597.00","12.88","4.16"
"TORNTPHARM","4,948.00","5,140.70","4,894.40","4,872.10","5,139.90","-","267.8","5.5","1427855","721.18","5,140.70","3,480.60","10.39","36.9"
"ASHOKLEY","159.90","166.70","159.17","158.09","165.69","-","7.6","4.81","47542706","784.74","215.42","114.96","2.38","37.28"
"KAYNES","3,644.60","3,859.80","3,622.20","3,621.50","3,785.00","-","163.5","4.51","3267041","1,238.26","7,705.00","2,995.00","20.7","-38.36"
"INOXWIND","75.62","78.42","75.25","74.98","78.26","-","3.28","4.37","16412344","127.08","159.30","73.81","-13.03","-48.16"
"GAIL","174.45","182.21","173.50","173.64","181.00","-","7.36","4.24","38893443","697.01","186.87","134.36","3.98","2.12"
"CHOLAFIN","1,787.80","1,863.10","1,779.40","1,773.80","1,845.20","-","71.4","4.03","2944385","541.76","1,875.00","1,299.40","2.58","28.18"
"KEI","4,797.50","5,085.00","4,797.50","4,799.50","4,993.00","-","193.5","4.03","481434","240.72","5,708.00","3,712.20","-4.74","30.04"
"MUTHOOTFIN","3,025.70","3,144.80","3,015.10","3,008.70","3,128.50","-","119.8","3.98","1285016","398.55","4,149.50","2,476.60","7.02","19.42"
"JIOFIN","247.50","257.06","247.00","246.95","256.10","-","9.15","3.71","42840807","1,084.90","338.60","223.30","6.85","-22.11"
"PREMIERENE","992.00","1,027.00","981.30","982.70","1,017.90","-","35.2","3.58","1706896","172.81","1,134.00","660.00","-2.8","-0.96"
"CGPOWER","850.00","878.80","850.00","832.60","861.90","-","29.3","3.52","6863390","597.18","980.90","525.50","-11.58","30.48"
"BAJAJHLDNG","11,000.00","11,467.00","10,951.00","10,970.00","11,335.00","-","365","3.33","89978","101.66","14,763.00","8,588.00","5.82","-18.76"
"M&M","3,379.90","3,457.00","3,243.30","3,283.70","3,393.00","-","109.3","3.33","6131873","2,079.31","3,839.90","2,896.00","8.58","6.1"
"BSE","3,538.50","3,652.50","3,517.00","3,530.30","3,646.00","-","115.7","3.28","2753390","991.25","4,446.80","2,021.50","-7.55","50.21"
