CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,16,-,-,47.76,"2,447.25",-,780,"2,693.60","2,902.15",780,"21,600.00","81,055",0.90,0.95,"14,105",0.05,0.95,42.64,"1,07,458","-4,665","57,072",
,-,-,-,-,-,-,780,"2,564.75","2,856.15",780,"21,650.00",455,0.85,1.00,"18,265",0.15,1.00,42.12,"15,203","3,486","4,469",
,-,-,-,-,-,-,780,"2,517.85","2,806.25",780,"21,700.00",650,0.95,1.05,"5,655",0.05,0.90,40.95,"61,646","2,245","15,343",
,-,-,-,-,-,-,780,"2,466.95","2,756.55",780,"21,750.00",260,0.70,1.10,325,0.30,1.15,41.24,"8,424","1,349","1,697",
,1,-,-,-,"2,220.00",-,780,"2,523.30","2,631.60",780,"21,800.00","1,755",1.05,1.15,"1,300",0.10,1.00,39.92,"30,373","-1,575","7,455",
,-,-,-,-,-,-,780,"2,373.45","2,659.15",780,"21,850.00","2,600",1.00,1.20,"2,665",0.10,1.00,39.19,"6,806","1,633","1,952",
,10,-,-,-,"2,380.00",-,780,"2,352.95","2,608.05",780,"21,900.00",455,0.85,1.15,"1,235",0.20,1.15,39.02,"18,930","1,386","4,192",
,-,-,-,-,-,-,780,"2,290.35","2,554.35",780,"21,950.00",650,0.85,1.15,910,0.20,1.15,38.28,"15,182","2,373","2,788",
,145,27,40,-,"2,370.85",120.85,65,"2,360.00","2,418.70","1,105","22,000.00",650,1.10,1.15,130,0.10,1.10,37.36,"1,28,474",-155,"44,396",
,-,-,-,-,-,-,780,"2,190.60","2,456.45",780,"22,050.00",455,1.15,1.25,"3,120",0.10,1.15,36.80,"13,046","1,463","1,908",
,1,-,-,-,"1,971.00",-,780,"2,226.80","2,377.50",780,"22,100.00","1,625",1.20,1.35,"5,265",0.15,1.20,36.22,"23,344","3,126","5,635",
,-,-,-,-,-,-,780,"2,102.15","2,357.30",780,"22,150.00","10,010",1.15,1.40,"1,300",0.10,1.20,35.48,"12,976","1,356","2,109",
,-,-,-,-,-,-,780,"2,044.45","2,307.20",780,"22,200.00","1,885",1.30,1.40,"12,415",0.15,1.30,35.04,"60,759","9,979","17,535",
,1,1,4,-,"2,108.40",314.75,780,"2,016.05","2,227.45",780,"22,250.00","1,300",1.30,1.40,"3,900",0.25,1.35,34.44,"19,244","2,252","3,897",
,-,-,-,-,-,-,780,"1,955.35","2,206.70",780,"22,300.00","2,210",1.35,1.40,650,0.25,1.35,33.69,"45,224","4,406","11,120",
,-,-,-,-,-,-,780,"1,974.40","2,157.00",780,"22,350.00",130,1.20,1.55,650,0.35,1.55,33.46,"20,986","2,309","3,750",
,1,-,-,45.09,"1,573.40",-,780,"1,868.40","2,109.50",780,"22,400.00",130,1.50,1.55,260,0.15,1.45,32.46,"43,030","5,793","13,155",
,1,1,4,-,"1,874.65",256.25,780,"1,837.75","1,970.00",65,"22,450.00","1,300",1.55,1.70,"2,925",0.45,1.70,32.28,"24,833","1,442","2,926",
,248,-21,23,-,"1,897.20",114.80,780,"1,828.25","1,903.40",195,"22,500.00","5,915",1.60,1.65,"1,820",0.30,1.65,31.41,"2,84,177","24,107","89,561",
,-,-,-,-,-,-,780,"1,712.00","1,957.10",780,"22,550.00","1,625",1.60,1.75,455,0.25,1.60,30.54,"30,188","2,722","4,564",
,-,-,-,-,-,-,780,"1,674.75","1,907.15",780,"22,600.00",520,1.60,1.70,585,0.30,1.70,29.99,"1,06,459","1,911","17,802",
,3,-,-,-,"1,119.00",-,780,"1,628.00","1,822.95",780,"22,650.00","1,105",1.55,1.85,"4,030",0.35,1.80,29.43,"34,223","2,281","4,864",
,4,-,-,-,"1,564.85",12.70,780,"1,614.80","1,728.80",910,"22,700.00",325,1.70,1.90,910,0.40,1.90,28.85,"83,695","5,846","22,395",
,7,-,-,-,"1,548.00",31.20,780,"1,573.80","1,665.95",780,"22,750.00","1,755",1.80,1.95,"1,105",0.40,1.95,28.16,"34,853",593,"5,796",
,131,-4,22,-,"1,586.25",139.65,780,"1,528.90","1,623.60",780,"22,800.00",130,1.95,2.00,"12,870",0.35,1.95,27.39,"1,73,452","9,892","55,010",
,1,-,-,-,"1,385.90",-,780,"1,480.00","1,585.10",780,"22,850.00",455,1.65,2.15,"2,925",0.40,2.10,26.86,"74,706","2,885","9,945",
,"1,127",-3,3,-,"1,508.00",128.00,780,"1,430.65","1,480.30",195,"22,900.00",325,2.00,2.15,975,0.10,1.90,25.75,"1,42,150","6,979","30,711",
,2,-,-,-,"1,091.60",-,390,"1,342.15","1,526.85",780,"22,950.00","1,755",2.05,2.25,650,0.40,2.25,25.52,"98,085","6,173","12,060",
,"3,499",77,743,-,"1,375.25",91.40,780,"1,341.05","1,372.50",65,"23,000.00",260,2.20,2.30,"7,540",0.15,2.20,24.66,"8,21,482","48,807","1,66,355",
,4,-,-,-,"1,005.00",-,390,"1,250.65","1,411.25",780,"23,050.00",325,2.25,2.30,"1,040",0.15,2.30,24.01,"1,40,912","11,442","19,057",
,202,-3,9,-,"1,282.70",87.95,780,"1,230.80","1,324.50",780,"23,100.00","1,625",2.20,2.25,"5,22,665",-0.05,2.20,23.08,"3,94,814","33,139","67,241",
,13,-,-,-,"1,055.30",-,390,"1,167.40","1,258.05",65,"23,150.00","1,755",2.45,2.60,65,0.05,2.60,22.79,"1,69,377","8,826","32,342",
,291,-29,172,-,"1,181.45",91.95,65,"1,167.55","1,184.40",65,"23,200.00",260,2.55,2.60,"7,215",-0.05,2.60,21.98,"4,85,997","23,565","95,436",
,62,-1,7,-,"1,146.55",114.90,780,"1,080.85","1,196.30",65,"23,250.00","1,950",2.65,2.80,"1,625",-0.05,2.80,21.39,"1,70,067","9,243","23,389",
,471,-1,136,-,"1,081.60",97.60,780,"1,051.05","1,081.35",65,"23,300.00",390,2.75,2.95,"1,105",-0.40,2.75,20.53,"5,16,317",555,"71,543",
,333,-2,49,-,"1,023.45",77.25,65,981.75,"1,040.90",65,"23,350.00",130,2.90,3.05,520,-0.45,2.90,19.86,"2,31,729","3,468","21,289",
,"1,226",-38,239,-,977.00,85.55,65,962.65,978.25,65,"23,400.00",65,2.95,3.20,"2,730",-0.60,3.15,19.27,"6,19,169","-23,496","87,266",
,640,7,44,-,929.40,84.10,65,882.55,938.40,65,"23,450.00","5,850",3.40,3.60,"1,300",-0.70,3.40,18.64,"2,15,639","4,952","25,614",
,"4,054",-348,"2,166",-,871.25,80.55,260,867.50,873.10,65,"23,500.00","1,755",3.60,3.80,65,-0.90,3.55,17.92,"8,05,349","12,459","1,16,568",
,838,-14,104,-,830.55,84.40,65,807.25,837.00,65,"23,550.00",325,3.70,4.00,390,-1.30,3.70,17.18,"3,43,253","8,756","30,441",
,"2,341",-495,"1,619",-,772.00,75.90,65,769.05,776.85,130,"23,600.00",325,4.10,4.25,715,-1.50,4.25,16.69,"7,49,221","6,005","79,873",
,745,46,281,-,719.70,75.95,65,718.85,729.30,65,"23,650.00",325,4.65,4.75,"4,940",-1.90,4.70,16.08,"5,71,523","44,605","83,366",
,"3,518",-616,"2,303",-,670.00,73.85,65,670.30,675.00,65,"23,700.00","1,755",4.95,5.05,"1,105",-2.90,5.05,15.37,"7,64,887","10,762","95,167",
,"1,258",27,"1,014",-,624.10,79.15,"1,755",622.50,628.00,65,"23,750.00",520,5.45,5.60,520,-3.65,5.65,14.76,"4,57,622","2,922","35,269",
,"8,746",-623,"7,183",-,574.25,74.80,65,571.55,576.05,130,"23,800.00",325,6.15,6.35,"2,080",-5.00,6.20,14.07,"8,22,197","-1,097","92,145",
,"1,641",-271,"2,521",-,525.05,73.05,260,522.15,529.80,130,"23,850.00",260,6.90,7.25,390,-6.85,6.90,13.41,"4,89,780","1,280","44,891",
,"9,259","-1,164","13,904",-,475.05,71.00,260,474.05,479.05,65,"23,900.00",130,8.10,8.35,520,-9.20,8.10,12.86,"8,57,791","31,888","1,03,413",
,"3,456",-775,"9,268",-,430.00,69.75,65,425.15,431.75,520,"23,950.00",520,9.45,9.85,520,-12.60,9.40,12.25,"6,13,630","38,927","77,197",
,"34,194","-8,264","1,15,284",-,382.00,66.20,260,378.85,381.95,65,"24,000.00",520,11.65,11.85,"1,170",-16.60,11.55,11.78,"17,56,313","57,783","2,25,941",
,"3,808","-1,864","23,592",-,333.05,58.90,65,329.85,336.00,260,"24,050.00",780,14.05,14.25,780,-21.55,14.15,11.27,"7,76,366","2,586","48,721",
,"19,258","-5,729","1,52,044",-,284.10,50.80,195,285.10,287.00,260,"24,100.00",65,17.80,18.05,780,-27.85,17.80,10.83,"15,47,405","28,348","1,17,602",
,"8,599","-4,641","1,43,158",-,242.65,46.20,260,240.10,243.95,260,"24,150.00",520,23.35,23.70,260,-35.10,23.40,10.52,"10,50,234","-1,047","63,002",
,"51,331","-38,449","10,19,573",-,201.00,38.30,260,198.50,200.85,260,"24,200.00",520,30.95,31.15,520,-43.30,30.80,10.23,"26,38,271","16,112","1,81,766",
,"26,176","-26,545","9,27,714",-,159.95,28.65,260,159.30,160.10,520,"24,250.00",520,41.30,41.70,520,-51.30,41.90,10.12,"19,07,960","41,219","1,12,828",
,"76,943","-24,806","35,66,664",5.09,124.45,20.25,520,123.55,124.30,520,"24,300.00",520,55.55,56.20,260,-59.50,56.00,10.01,"46,93,660","59,979","1,51,598",
,"61,412","22,283","49,86,586",5.77,93.65,12.80,325,93.25,93.85,520,"24,350.00",715,74.85,75.50,520,-67.30,75.00,10.06,"49,82,605","69,542","89,017",
,"1,28,121","53,560","67,94,099",6.19,68.30,7.95,325,67.80,68.20,520,"24,400.00",715,98.95,99.50,65,-72.50,98.95,10.22,"49,63,564","69,803","93,640",
,"69,100","34,539","34,19,309",6.39,47.20,3.20,"2,600",46.70,46.85,195,"24,450.00",520,127.60,128.45,520,-77.95,127.45,10.45,"14,66,056","17,385","22,321",
,"1,39,694","-13,906","42,48,839",6.52,31.15,-,520,30.95,31.15,195,"24,500.00",520,161.55,162.15,325,-79.70,162.05,10.94,"12,62,867","14,497","31,519",
,"49,224","11,474","19,17,855",6.67,19.95,-0.85,780,19.50,19.90,585,"24,550.00",130,199.05,200.80,325,-82.15,200.30,11.52,"2,59,537","2,750","5,030",
,"1,85,155","28,564","28,14,363",6.74,11.90,-1.70,455,11.75,11.85,715,"24,600.00",65,240.45,243.15,325,-80.70,243.55,12.42,"2,63,554","7,195","11,416",
,"80,697","21,049","14,61,368",6.90,7.20,-1.70,715,7.20,7.35,195,"24,650.00",260,285.95,288.75,325,-83.95,286.40,13.10,"41,801",815,"1,639",
,"1,41,486","22,311","16,17,484",7.31,5.00,-0.85,"2,535",4.75,5.00,"2,470","24,700.00",260,333.35,336.15,325,-83.60,332.50,14.04,"55,695","1,893","3,132",
,"59,973","29,984","8,63,326",7.64,3.35,-0.70,"1,690",3.30,3.45,195,"24,750.00",65,382.00,386.90,130,-79.55,384.95,15.78,"8,409",153,616,
,"1,05,074","29,273","11,68,078",8.18,2.65,-0.25,65,2.60,2.65,325,"24,800.00",65,430.45,434.10,325,-82.35,430.35,16.47,"16,045",316,"1,348",
,"33,750","8,685","5,74,619",8.44,1.75,-0.35,"1,365",1.90,2.10,65,"24,850.00",260,479.45,483.15,325,-97.75,465.80,15.36,"2,535",201,312,
,"58,007","18,065","8,28,314",9.16,1.65,-0.05,"3,380",1.65,1.70,130,"24,900.00",130,530.80,533.70,325,-78.30,534.60,19.72,"2,941",213,543,
,"21,315","5,782","4,56,689",9.80,1.50,-0.05,650,1.50,1.75,"1,950","24,950.00",195,577.35,583.30,65,-83.40,579.50,20.16,392,156,208,
,"1,67,690","34,590","10,01,992",10.66,1.60,0.15,"2,535",1.45,1.60,"51,870","25,000.00",65,628.10,633.40,130,-76.25,633.25,22.01,"7,510",-239,"5,271",
,"18,372","5,112","2,02,283",11.21,1.40,0.15,130,1.25,1.40,"2,405","25,050.00",65,675.95,683.90,65,-429.80,655.20,17.52,41,24,32,
,"53,074","5,550","3,89,089",11.58,1.10,-,"1,755",1.05,1.10,195,"25,100.00",65,725.80,736.35,65,-75.55,730.00,23.86,109,9,173,
,"15,125","6,290","1,46,591",11.99,0.90,-0.10,"9,880",0.90,0.95,"84,630","25,150.00",780,742.05,825.45,780,-103.65,782.20,25.43,46,6,27,
,"62,930","13,007","3,96,083",12.59,0.85,-0.05,"32,370",0.85,0.90,"2,21,910","25,200.00",260,825.55,875.30,65,-91.20,816.00,23.30,102,-21,401,
,"12,291","1,939","1,01,522",13.19,0.80,-0.15,"1,755",0.80,0.85,"37,765","25,250.00",780,735.00,932.20,780,-,-,-,-,-,-,
,"51,749","9,000","1,95,684",13.86,0.80,-0.10,"7,30,600",0.75,0.80,"32,500","25,300.00",65,923.20,970.90,65,-79.20,917.15,25.70,137,28,126,
,"7,133","2,907","56,139",14.43,0.75,-0.05,"1,01,595",0.70,0.75,"2,925","25,350.00",780,885.90,"1,028.20",260,-204.25,885.75,-,64,16,26,
,"40,436","7,721","1,22,629",14.85,0.65,-0.10,"5,78,370",0.65,0.70,"58,760","25,400.00","1,560",895.55,"1,038.00",65,-93.85,"1,020.00",28.47,45,-2,43,
,"4,832",417,"26,982",15.63,0.70,-,"70,200",0.65,0.70,"2,470","25,450.00",780,891.05,"1,126.70",780,-,"1,200.00",29.52,-,-,2,
,"58,586","6,667","1,86,726",16.15,0.65,-0.10,"6,83,215",0.65,0.70,"76,895","25,500.00",65,"1,125.25","1,133.85",65,-83.65,"1,126.50",32.07,580,384,"3,330",
,"3,467",506,"13,734",16.65,0.60,-0.10,"54,275",0.60,0.75,"4,550","25,550.00","1,690","1,008.25","1,241.10",780,-408.40,"1,130.00",-,1,1,4,
,"5,160",630,"49,975",17.43,0.65,-0.05,"1,83,755",0.60,0.65,"1,170","25,600.00",780,"1,132.25","1,272.45",780,-,"1,294.75",43.62,-,-,2,
,"6,809","4,963","32,731",17.91,0.60,-0.05,"1,21,680",0.55,0.60,325,"25,650.00",65,"1,109.85","1,329.75",65,-,"1,600.00",50.91,-,-,12,
,"13,710","8,585","57,339",18.37,0.55,-0.05,"1,08,160",0.55,0.60,"1,50,540","25,700.00",780,"1,152.00","1,373.30",780,-,-,-,-,-,-,
,"2,422","1,552","9,611",18.99,0.55,-0.10,"5,005",0.55,0.60,"26,780","25,750.00",780,"1,244.90","1,431.50",780,-,-,-,-,-,-,
,"4,604","1,794","25,275",19.61,0.55,-0.05,"11,830",0.55,0.60,"5,200","25,800.00",65,"1,385.70","1,468.95",780,-18.20,"1,420.60",36.76,4,-3,35,
,"1,387",768,"6,354",20.22,0.55,-0.05,"26,130",0.50,0.55,"1,300","25,850.00",780,"1,366.85","1,522.25",780,-,"1,832.00",58.80,-,-,4,
,"4,408","1,384","19,368",21.02,0.60,0.05,455,0.55,0.60,"7,085","25,900.00",780,"1,350.80","1,571.25",780,-,-,51.46,-,-,-,
,"1,161",477,"3,839",21.24,0.50,-0.10,"7,150",0.50,0.55,390,"25,950.00",780,"1,380.05","1,622.25",780,-,-,-,-,-,-,
,"40,116","6,127","2,03,634",22.04,0.55,-0.05,"12,935",0.55,0.60,"12,480","26,000.00",130,"1,621.90","1,635.15","1,040",-69.25,"1,633.25",43.98,178,85,"1,510",
,"2,047",622,"9,619",22.20,0.45,-0.10,"22,360",0.45,0.55,65,"26,050.00",780,"1,481.25","1,774.85",780,-,-,-,-,-,-,
,"3,459","-3,966","31,618",23.03,0.50,-,"17,940",0.45,0.50,"3,705","26,100.00",780,"1,558.55","1,790.40",780,-,-,-,-,-,-,
,"2,782",315,"10,402",23.38,0.45,-0.05,"5,135",0.45,0.50,"21,125","26,150.00",780,"1,562.70","1,821.95",780,-,-,-,-,-,-,
,"23,339","9,564","80,401",23.70,0.40,-0.10,"4,06,965",0.40,0.45,"2,70,140","26,200.00",780,"1,780.25","1,869.75",780,-85.00,"1,833.60",48.05,11,-2,38,
